huobiproxy11, 0, 0, 14137742014098212.00000000000000000, 14137742014098212.00000000000000000, 1, 0, 0%, ["atticlabeosb","bitfinexeos1","btccpooleos1","cochainworld","eosasia11111","eosauthority","eosbeijingbp","eoscanadacom","eoscannonchn","eosflytomars","eosgenblockp","eoshuobipool","eosiosg11111","eosisgravity","eosliquideos","eosnationftw","eosnewyorkio","eosnodeonebp","eospaceioeos","eospacificbp","eosstorebest","eosvolgabpru","helloeoscnbp","jedaaaaaaaaa","oraclegogogo","starteosiobp","zbeosbp11111"]
huobiproxy44, 0, 0, 9425154902222828.00000000000000000, 9425154902222828.00000000000000000, 1, 0, 0%, ["atticlabeosb","bitfinexeos1","btccpooleos1","cochainworld","eosbeijingbp","eoschaintech","eoseouldotio","eosflytomars","eosgenblockp","eoshenzhenio","eoshuobipool","eosiosg11111","eoslambdacom","eospaceioeos","eosstorebest","eosvolgabpru","fostopfostop","jedaaaaaaaaa","starteosiobp","zbeosbp11111"]
lukeeosproxy, 0, 11170000, 13369371015628776.00000000000000000, 13364107077406958.00000000000000000, 1, 5263938221818.09570312500000000, 199.84256951341158%, ["alohaeosprod","argentinaeos","aus1genereos","blockmatrix1","costaricaeos","cryptolions1","cypherglasss","eos42freedom","eosamsterdam","eosasia11111","eosauthority","eoscafeblock","eosdacserver","eosdublinwow","eoseouldotio","eosiodetroit","eosnationftw","eosnewyorkio","eosphereiobp","eosriobrazil","eossv12eossv","eosswedenorg","eostitanprod","eostribeprod","eosvenezuela","hkeoshkeosbp","libertyblock","sheos21sheos","teamgreymass","tokenika4eos"]
11firstblood, 0, 1024500, 6444520101378409.00000000000000000, 6444037298808288.00000000000000000, 1, 482802570121.09564208984375000, 199.97003554056894%, ["eosantpoolbp","eosbixinboot","eoscannonchn","eoscybexiobp","eosflytomars","eosiosg11111","eosisgravity","eoslaomaocom","eosnationftw","eospaceioeos","eospacificbp","eosplayworld","eoswancloud1","geosoneforbp","jedaaaaaaaaa","jrrcryptoeos","qxeosqxeosbp","sheleaders21","starteosiobp","unlimitedeos","zbeosbp11111"]
xfvkn4yzvgum, 0, 0, 4976264817503152.00000000000000000, 4976264817503152.00000000000000000, 1, 0, 0%, ["argentinaeos","atticlabeosb","bitfinexeos1","cochainworld","eos42freedom","eosantpoolbp","eosbeijingbp","eoscannonchn","eosfishrocks","eosflytomars","eosiomeetone","eosiosg11111","eosisgravity","eoslaomaocom","eosliquideos","eosmedinodes","eosmesodotio","eospaceioeos","eosphereiobp","eosplayworld","eosriobrazil","jedaaaaaaaaa","libertyblock","qxeosqxeosbp","starteosiobp","syndicateoss","tokenika4eos","unlimitedeos","zbeosbp11111"]
2buvnbt2p2vp, 0, 0, 4967945698478902.00000000000000000, 4967945698478902.00000000000000000, 1, 0, 0%, ["argentinaeos","atticlabeosb","cochainworld","eos42freedom","eosantpoolbp","eosasia11111","eosbeijingbp","eoscannonchn","eosfishrocks","eosflytomars","eosiosg11111","eoslaomaocom","eosliquideos","eosmedinodes","eosmesodotio","eospaceioeos","eospacificbp","eosphereiobp","eosplayworld","eosvolgabpru","jedaaaaaaaaa","libertyblock","qxeosqxeosbp","starteosiobp","syndicateoss","tokenika4eos","unlimitedeos","zbeosbp11111"]
huobiproxy55, 0, 0, 4712587111875385.00000000000000000, 4712587111875385.00000000000000000, 1, 0, 0%, ["atticlabeosb","bitfinexeos1","btccpooleos1","cochainworld","eosasia11111","eosauthority","eosbeijingbp","eoscannonchn","eoscybexiobp","eoseouldotio","eosflytomars","eosgenblockp","eoshenzhenio","eoshuobipool","eosiosg11111","eosnewyorkio","eosnodeonebp","eospaceioeos","eospacificbp","eosstorebest","fostopfostop","qxeosqxeosbp","sheleaders21","starteosiobp","unlimitedeos","zbeosbp11111"]
galaxypirate, 0, 210000, 4712686075798982.00000000000000000, 4712587111875385.00000000000000000, 1, 98963923597.29632568359375000, 199.99160038722218%, ["btccpooleos1","cochainworld","eosbeijingbp","eosbixinboot","eoschaintech","eosflytomars","eosgenblockp","eoshuobipool","eosiosg11111","eospaceioeos","eospacificbp","eosstorebest","starteosiobp","zbeosbp11111"]
donglovelong, 0, 0, 4712567790347444.00000000000000000, 4712567790347444.00000000000000000, 1, 0, 0%, ["atticlabeosb","bitfinexeos1","cochainworld","eosantpoolbp","eosbeijingbp","eosbixinboot","eoscleanerbp","eosdotwikibp","eosfishrocks","eosflytomars","eosgenblockp","eoshenzhenio","eoshuobipool","eosiosg11111","eoslaomaocom","eospaceioeos","eospacificbp","eosplayworld","eosuestciobp","helloeoscnbp","jedaaaaaaaaa","sheleaders21","starteosiobp","syndicateoss","unlimitedeos","zbeosbp11111"]
longgevvdong, 0, 0, 4712567790347444.00000000000000000, 4712567790347444.00000000000000000, 1, 0, 0%, ["atticlabeosb","bitfinexeos1","cochainworld","eosasia11111","eosbeijingbp","eosbixinboot","eoscleanerbp","eosdotwikibp","eosfishrocks","eosflytomars","eosgenblockp","eoshuobipool","eosisgravity","eoslaomaocom","eospaceioeos","eospacificbp","eosplayworld","eosstorebest","eossv12eossv","eosunion1111","eoswingdotio","geosoneforbp","helloeoscnbp","jedaaaaaaaaa","moreisfuture","oraclegogogo","qxeosqxeosbp","starteosiobp","unlimitedeos","zbeosbp11111"]
nnnnnnnnnnnz, 0, 0, 4712567790347444.00000000000000000, 4712567790347444.00000000000000000, 1, 0, 0%, ["atticlabeosb","bitfinexeos1","cochainworld","eosasia11111","eosbeijingbp","eosbixinboot","eosdotwikibp","eosfishrocks","eosflytomars","eosgenblockp","eoshuobipool","eosiosg11111","eoslaomaocom","eospaceioeos","eospacificbp","eosplayworld","eossv12eossv","eosuestciobp","eosunion1111","geosoneforbp","helloeoscnbp","jedaaaaaaaaa","moreisfuture","qxeosqxeosbp","starteosiobp","unlimitedeos","zbeosbp11111"]
dongdongxxxx, 0, 0, 4712567790347444.00000000000000000, 4712567790347444.00000000000000000, 1, 0, 0%, ["atticlabeosb","bitfinexeos1","cochainworld","eosantpoolbp","eosbeijingbp","eosbixinboot","eoscleanerbp","eosdotwikibp","eosfishrocks","eosflytomars","eosgenblockp","eoshuobipool","eosiosg11111","eoslambdacom","eoslaomaocom","eospaceioeos","eospacificbp","eosplayworld","eosuestciobp","eosunion1111","eoswingdotio","helloeoscnbp","jedaaaaaaaaa","moreisfuture","starteosiobp","syndicateoss","unlimitedeos","zbeosbp11111"]
ktjn11hr1dm5, 0, 0, 150802169291.11822509765625000, 150802169291.11822509765625000, 1, 0, 0%, ["atticlabeosb","eosphereiobp","tokenika4eos"]
lzzikr2m131t, 0, 0, 4210974696166414.50000000000000000, 4210974696166414.50000000000000000, 1, 0, 0%, ["atticlabeosb","cochainworld","eosbeijingbp","eosbixinboot","eoscannonchn","eosfishrocks","eosflytomars","eosiosg11111","eoslaomaocom","eosliquideos","eosmedinodes","eosmesodotio","eospaceioeos","eospacificbp","eosphereiobp","eosplayworld","eosvolgabpru","helloeoscnbp","jedaaaaaaaaa","starteosiobp","syndicateoss","tokenika4eos","unlimitedeos","zbeosbp11111"]
eostotheboom, 0, 146200, 3194335068653925.50000000000000000, 3194266170912830.50000000000000000, 1, 68897741094.87963867187500000, 199.99137269527344%, ["acroeos12345","bitspacenode","cochainworld","eos42freedom","eosbeijingbp","eoscandyone1","eoscannonchn","eoseouldotio","eosflytomars","eoshuobipool","eosisgravity","eoslaomaocom","eosmesodotio","eosmotioneos","eosonoeosono","eospaceioeos","eosstorebest","eosswedenorg","eostitanprod","geosoneforbp","jedaaaaaaaaa","oraclegogogo","qxeosqxeosbp","tokenika4eos","unlimitedeos","zbeosbp11111"]
e2e2e2e2e2e2, 0, 0, 19065685681.59879302978515625, 19065685681.59879302978515625, 1, 0, 0%, ["eosbeijingbp"]
x2qkz5yqw5n4, 0, 0, 3253055442652053.50000000000000000, 3253055442652053.50000000000000000, 1, 0, 0%, ["acroeos12345","argentinaeos","atticlabeosb","cochainworld","eosamsterdam","eosantpoolbp","eosbeijingbp","eoscannonchn","eosfishrocks","eosflytomars","eosiomeetone","eosiosg11111","eoslaomaocom","eosliquideos","eosmedinodes","eosmesodotio","eosnodeonebp","eospaceioeos","eospacificbp","eosphereiobp","eosplayworld","eosvolgabpru","jedaaaaaaaaa","starteosiobp","syndicateoss","tokenika4eos","unlimitedeos","zbeosbp11111"]
eostitanvote, 0, 40000, 5075538106140091.00000000000000000, 5075519255868930.00000000000000000, 1, 18850271161.38977813720703125, 199.99851442737625%, ["alohaeosprod","argentinaeos","atticlabeosb","bitfinexeos1","cochainworld","eosafricaone","eosauthority","eosbeijingbp","eosbixinboot","eoscanadacom","eosfishrocks","eosflytomars","eoshenzhenio","eoshuobipool","eosiosg11111","eosmesodotio","eosnewyorkio","eosnodeonebp","eospaceioeos","eosswedenorg","eostitanprod","eostribeprod","eosvenezuela","eosvibesbloc","hkeoshkeosbp","libertyblock","starteosiobp","teamgreymass","tokenika4eos","zbeosbp11111"]
